[2026-07-16 20:25:23] SUCCESSFUL_LOGIN | User: user1 | Host: 10.0.0.3:52804 | Info: Session established successfully (REGISTERED).
[2026-07-16 20:27:54] SUCCESSFUL_LOGIN | User: user2 | Host: 10.0.0.4:50662 | Info: Session established successfully (REGISTERED).
[2026-07-16 20:28:04] DUPLICATE_LOGIN_BLOCKED | User: user1 | Host: 10.0.0.5:58750 | Info: Prevented concurrent active session.
[2026-07-16 20:28:48] DUPLICATE_LOGIN_BLOCKED | User: user1 | Host: 10.0.0.5:59010 | Info: Prevented concurrent active session.
[2026-07-16 20:30:18] SUCCESSFUL_LOGIN | User: user3 | Host: 10.0.0.5:43592 | Info: Session established successfully (REGISTERED).
[2026-07-16 20:30:23] SESSION_TIMEOUT | User: user1 | Host: 10.0.0.3:52804 | Info: Disconnected due to inactivity.
[2026-07-16 20:31:20] FAILED_LOGIN | User: user3 | Host: 10.0.0.2:39548 | Info: Incorrect password (Attempt 1/5).
[2026-07-16 20:31:27] FAILED_LOGIN | User: user3 | Host: 10.0.0.2:39552 | Info: Incorrect password (Attempt 2/5).
[2026-07-16 20:31:32] FAILED_LOGIN | User: user3 | Host: 10.0.0.2:57086 | Info: Incorrect password (Attempt 3/5).
[2026-07-16 20:31:34] FAILED_LOGIN | User: user3 | Host: 10.0.0.2:57100 | Info: Incorrect password (Attempt 4/5).
[2026-07-16 20:31:39] FAILED_LOGIN | User: user3 | Host: 10.0.0.2:40310 | Info: Incorrect password (Attempt 5/5).
[2026-07-16 20:31:39] ACCOUNT_LOCKED | User: user3 | Host: 10.0.0.2:40310 | Info: Lockout state activated for 5 minutes.
[2026-07-16 20:31:47] LOCKOUT_BLOCKED | User: user3 | Host: 10.0.0.2:40318 | Info: Attempt during an active lockout.
[2026-07-16 20:31:57] SUCCESSFUL_LOGIN | User: user4 | Host: 10.0.0.2:43270 | Info: Session established successfully (REGISTERED).
[2026-07-16 20:34:42] FAILED_LOGIN | User: user1 | Host: 10.0.0.3:48260 | Info: Incorrect password (Attempt 1/5).
[2026-07-16 20:34:50] FAILED_LOGIN | User: user1 | Host: 10.0.0.3:48264 | Info: Incorrect password (Attempt 2/5).
[2026-07-16 20:34:57] FAILED_LOGIN | User: user1 | Host: 10.0.0.3:33524 | Info: Incorrect password (Attempt 3/5).
[2026-07-16 20:35:05] FAILED_LOGIN | User: user1 | Host: 10.0.0.3:38750 | Info: Incorrect password (Attempt 4/5).
[2026-07-16 20:35:17] FAILED_LOGIN | User: user1 | Host: 10.0.0.3:38596 | Info: Incorrect password (Attempt 5/5).
[2026-07-16 20:35:17] ACCOUNT_LOCKED | User: user1 | Host: 10.0.0.3:38596 | Info: Lockout state activated for 5 minutes.
[2026-07-16 20:42:35] SESSION_TIMEOUT | User: user2 | Host: 10.0.0.4:50662 | Info: Disconnected due to inactivity.
[2026-07-16 20:42:45] SESSION_TIMEOUT | User: user4 | Host: 10.0.0.2:43270 | Info: Disconnected due to inactivity.
[2026-07-16 20:43:15] USER_LOGOUT | User: user3 | Host: 10.0.0.5:43592 | Info: User requested regular session termination.
